temperature,top_p,BLEU,BERTScore,query_id
0.1,0.5,0.09151107427391865,0.8584185838699341,llama3_gen_q001
0.1,0.7,0.1060998016564635,0.8657382726669312,llama3_gen_q001
0.1,0.9,0.1060998016564635,0.8657382726669312,llama3_gen_q001
0.3,0.5,0.1060998016564635,0.8657382726669312,llama3_gen_q001
0.3,0.7,0.09836303999274382,0.8679385185241699,llama3_gen_q001
0.3,0.9,0.11306587007856644,0.866270899772644,llama3_gen_q001
0.5,0.5,0.1060998016564635,0.8657382726669312,llama3_gen_q001
0.5,0.7,0.11410753063725508,0.8660721182823181,llama3_gen_q001
0.5,0.9,0.11258478340690388,0.8665065169334412,llama3_gen_q001
0.7,0.5,0.09836303999274382,0.8679385185241699,llama3_gen_q001
0.7,0.7,0.12824084656556622,0.8714625835418701,llama3_gen_q001
0.7,0.9,0.10945077237260702,0.8711773753166199,llama3_gen_q001
