temperature,top_p,BLEU,BERTScore,query_id
0.1,0.5,0.0,0.8261406421661377,llama3_gen_q007
0.1,0.7,0.012590396453794714,0.8223008513450623,llama3_gen_q007
0.1,0.9,0.0,0.8107701539993286,llama3_gen_q007
0.3,0.5,0.019258319537323227,0.827692449092865,llama3_gen_q007
0.3,0.7,0.013961190465881214,0.8259829878807068,llama3_gen_q007
0.3,0.9,0.00825164508011949,0.8191820383071899,llama3_gen_q007
0.5,0.5,0.015583138409030039,0.824670135974884,llama3_gen_q007
0.5,0.7,0.009348121004531673,0.8171786069869995,llama3_gen_q007
0.5,0.9,0.01105916058208604,0.8136470317840576,llama3_gen_q007
0.7,0.5,0.0,0.820651113986969,llama3_gen_q007
0.7,0.7,0.0,0.8191215991973877,llama3_gen_q007
0.7,0.9,0.015447002367259079,0.8223310708999634,llama3_gen_q007
